"Année","Canton","Nationalité (catégorie)","Sexe","Âge","Immigration, y compris les changements de type de population"
"1981","Suisse","Étranger","Sexe - total","Âge - total",92937
"1981","Zürich","Étranger","Sexe - total","Âge - total",17293
"1981","Bern / Berne","Étranger","Sexe - total","Âge - total",7592
"1981","Luzern","Étranger","Sexe - total","Âge - total",2999
"1981","Uri","Étranger","Sexe - total","Âge - total",331
"1981","Schwyz","Étranger","Sexe - total","Âge - total",1005
"1981","Obwalden","Étranger","Sexe - total","Âge - total",293
"1981","Nidwalden","Étranger","Sexe - total","Âge - total",206
"1981","Glarus","Étranger","Sexe - total","Âge - total",718
"1981","Zug","Étranger","Sexe - total","Âge - total",938
"1981","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",2172
"1981","Solothurn","Étranger","Sexe - total","Âge - total",2610
"1981","Basel-Stadt","Étranger","Sexe - total","Âge - total",3768
"1981","Basel-Landschaft","Étranger","Sexe - total","Âge - total",2871
"1981","Schaffhausen","Étranger","Sexe - total","Âge - total",948
"1981","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",692
"1981","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",114
"1981","St. Gallen","Étranger","Sexe - total","Âge - total",5878
"1981","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",2906
"1981","Aargau","Étranger","Sexe - total","Âge - total",5774
"1981","Thurgau","Étranger","Sexe - total","Âge - total",2780
"1981","Ticino","Étranger","Sexe - total","Âge - total",5036
"1981","Vaud","Étranger","Sexe - total","Âge - total",11546
"1981","Valais / Wallis","Étranger","Sexe - total","Âge - total",2872
"1981","Neuchâtel","Étranger","Sexe - total","Âge - total",2150
"1981","Genève","Étranger","Sexe - total","Âge - total",8813
"1981","Jura","Étranger","Sexe - total","Âge - total",632
"1981","Sans indication","Étranger","Sexe - total","Âge - total",0
"1982","Suisse","Étranger","Sexe - total","Âge - total",86725
"1982","Zürich","Étranger","Sexe - total","Âge - total",16236
"1982","Bern / Berne","Étranger","Sexe - total","Âge - total",6938
"1982","Luzern","Étranger","Sexe - total","Âge - total",2550
"1982","Uri","Étranger","Sexe - total","Âge - total",367
"1982","Schwyz","Étranger","Sexe - total","Âge - total",990
"1982","Obwalden","Étranger","Sexe - total","Âge - total",240
"1982","Nidwalden","Étranger","Sexe - total","Âge - total",159
"1982","Glarus","Étranger","Sexe - total","Âge - total",533
"1982","Zug","Étranger","Sexe - total","Âge - total",825
"1982","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",2029
"1982","Solothurn","Étranger","Sexe - total","Âge - total",1895
"1982","Basel-Stadt","Étranger","Sexe - total","Âge - total",3595
"1982","Basel-Landschaft","Étranger","Sexe - total","Âge - total",2256
"1982","Schaffhausen","Étranger","Sexe - total","Âge - total",670
"1982","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",580
"1982","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",140
"1982","St. Gallen","Étranger","Sexe - total","Âge - total",5042
"1982","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",2586
"1982","Aargau","Étranger","Sexe - total","Âge - total",5176
"1982","Thurgau","Étranger","Sexe - total","Âge - total",2381
"1982","Ticino","Étranger","Sexe - total","Âge - total",4495
"1982","Vaud","Étranger","Sexe - total","Âge - total",11271
"1982","Valais / Wallis","Étranger","Sexe - total","Âge - total",3058
"1982","Neuchâtel","Étranger","Sexe - total","Âge - total",2101
"1982","Genève","Étranger","Sexe - total","Âge - total",10123
"1982","Jura","Étranger","Sexe - total","Âge - total",489
"1982","Sans indication","Étranger","Sexe - total","Âge - total",0
"1983","Suisse","Étranger","Sexe - total","Âge - total",69145
"1983","Zürich","Étranger","Sexe - total","Âge - total",11537
"1983","Bern / Berne","Étranger","Sexe - total","Âge - total",5334
"1983","Luzern","Étranger","Sexe - total","Âge - total",2143
"1983","Uri","Étranger","Sexe - total","Âge - total",182
"1983","Schwyz","Étranger","Sexe - total","Âge - total",763
"1983","Obwalden","Étranger","Sexe - total","Âge - total",176
"1983","Nidwalden","Étranger","Sexe - total","Âge - total",156
"1983","Glarus","Étranger","Sexe - total","Âge - total",353
"1983","Zug","Étranger","Sexe - total","Âge - total",708
"1983","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",1534
"1983","Solothurn","Étranger","Sexe - total","Âge - total",1400
"1983","Basel-Stadt","Étranger","Sexe - total","Âge - total",3872
"1983","Basel-Landschaft","Étranger","Sexe - total","Âge - total",1691
"1983","Schaffhausen","Étranger","Sexe - total","Âge - total",477
"1983","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",463
"1983","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",116
"1983","St. Gallen","Étranger","Sexe - total","Âge - total",3794
"1983","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",1834
"1983","Aargau","Étranger","Sexe - total","Âge - total",4059
"1983","Thurgau","Étranger","Sexe - total","Âge - total",1632
"1983","Ticino","Étranger","Sexe - total","Âge - total",2847
"1983","Vaud","Étranger","Sexe - total","Âge - total",10274
"1983","Valais / Wallis","Étranger","Sexe - total","Âge - total",2847
"1983","Neuchâtel","Étranger","Sexe - total","Âge - total",1542
"1983","Genève","Étranger","Sexe - total","Âge - total",9045
"1983","Jura","Étranger","Sexe - total","Âge - total",366
"1983","Sans indication","Étranger","Sexe - total","Âge - total",0
"1984","Suisse","Étranger","Sexe - total","Âge - total",69998
"1984","Zürich","Étranger","Sexe - total","Âge - total",11978
"1984","Bern / Berne","Étranger","Sexe - total","Âge - total",5515
"1984","Luzern","Étranger","Sexe - total","Âge - total",2218
"1984","Uri","Étranger","Sexe - total","Âge - total",195
"1984","Schwyz","Étranger","Sexe - total","Âge - total",655
"1984","Obwalden","Étranger","Sexe - total","Âge - total",197
"1984","Nidwalden","Étranger","Sexe - total","Âge - total",144
"1984","Glarus","Étranger","Sexe - total","Âge - total",403
"1984","Zug","Étranger","Sexe - total","Âge - total",754
"1984","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",1662
"1984","Solothurn","Étranger","Sexe - total","Âge - total",1462
"1984","Basel-Stadt","Étranger","Sexe - total","Âge - total",3086
"1984","Basel-Landschaft","Étranger","Sexe - total","Âge - total",1758
"1984","Schaffhausen","Étranger","Sexe - total","Âge - total",413
"1984","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",449
"1984","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",103
"1984","St. Gallen","Étranger","Sexe - total","Âge - total",3710
"1984","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",1823
"1984","Aargau","Étranger","Sexe - total","Âge - total",3428
"1984","Thurgau","Étranger","Sexe - total","Âge - total",1800
"1984","Ticino","Étranger","Sexe - total","Âge - total",2742
"1984","Vaud","Étranger","Sexe - total","Âge - total",10314
"1984","Valais / Wallis","Étranger","Sexe - total","Âge - total",2952
"1984","Neuchâtel","Étranger","Sexe - total","Âge - total",1843
"1984","Genève","Étranger","Sexe - total","Âge - total",10015
"1984","Jura","Étranger","Sexe - total","Âge - total",379
"1984","Sans indication","Étranger","Sexe - total","Âge - total",0
"1985","Suisse","Étranger","Sexe - total","Âge - total",72356
"1985","Zürich","Étranger","Sexe - total","Âge - total",11892
"1985","Bern / Berne","Étranger","Sexe - total","Âge - total",5473
"1985","Luzern","Étranger","Sexe - total","Âge - total",2314
"1985","Uri","Étranger","Sexe - total","Âge - total",160
"1985","Schwyz","Étranger","Sexe - total","Âge - total",769
"1985","Obwalden","Étranger","Sexe - total","Âge - total",205
"1985","Nidwalden","Étranger","Sexe - total","Âge - total",155
"1985","Glarus","Étranger","Sexe - total","Âge - total",406
"1985","Zug","Étranger","Sexe - total","Âge - total",813
"1985","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",1915
"1985","Solothurn","Étranger","Sexe - total","Âge - total",1367
"1985","Basel-Stadt","Étranger","Sexe - total","Âge - total",3018
"1985","Basel-Landschaft","Étranger","Sexe - total","Âge - total",1763
"1985","Schaffhausen","Étranger","Sexe - total","Âge - total",474
"1985","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",515
"1985","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",113
"1985","St. Gallen","Étranger","Sexe - total","Âge - total",4013
"1985","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",1985
"1985","Aargau","Étranger","Sexe - total","Âge - total",4240
"1985","Thurgau","Étranger","Sexe - total","Âge - total",1750
"1985","Ticino","Étranger","Sexe - total","Âge - total",2941
"1985","Vaud","Étranger","Sexe - total","Âge - total",10837
"1985","Valais / Wallis","Étranger","Sexe - total","Âge - total",3542
"1985","Neuchâtel","Étranger","Sexe - total","Âge - total",1809
"1985","Genève","Étranger","Sexe - total","Âge - total",9455
"1985","Jura","Étranger","Sexe - total","Âge - total",432
"1985","Sans indication","Étranger","Sexe - total","Âge - total",0
"1986","Suisse","Étranger","Sexe - total","Âge - total",79686
"1986","Zürich","Étranger","Sexe - total","Âge - total",13178
"1986","Bern / Berne","Étranger","Sexe - total","Âge - total",6222
"1986","Luzern","Étranger","Sexe - total","Âge - total",2748
"1986","Uri","Étranger","Sexe - total","Âge - total",150
"1986","Schwyz","Étranger","Sexe - total","Âge - total",777
"1986","Obwalden","Étranger","Sexe - total","Âge - total",203
"1986","Nidwalden","Étranger","Sexe - total","Âge - total",214
"1986","Glarus","Étranger","Sexe - total","Âge - total",414
"1986","Zug","Étranger","Sexe - total","Âge - total",797
"1986","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",1975
"1986","Solothurn","Étranger","Sexe - total","Âge - total",1554
"1986","Basel-Stadt","Étranger","Sexe - total","Âge - total",3009
"1986","Basel-Landschaft","Étranger","Sexe - total","Âge - total",1751
"1986","Schaffhausen","Étranger","Sexe - total","Âge - total",560
"1986","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",461
"1986","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",125
"1986","St. Gallen","Étranger","Sexe - total","Âge - total",4127
"1986","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",2204
"1986","Aargau","Étranger","Sexe - total","Âge - total",4369
"1986","Thurgau","Étranger","Sexe - total","Âge - total",2055
"1986","Ticino","Étranger","Sexe - total","Âge - total",3360
"1986","Vaud","Étranger","Sexe - total","Âge - total",13233
"1986","Valais / Wallis","Étranger","Sexe - total","Âge - total",4221
"1986","Neuchâtel","Étranger","Sexe - total","Âge - total",2276
"1986","Genève","Étranger","Sexe - total","Âge - total",9289
"1986","Jura","Étranger","Sexe - total","Âge - total",414
"1986","Sans indication","Étranger","Sexe - total","Âge - total",0
"1987","Suisse","Étranger","Sexe - total","Âge - total",83927
"1987","Zürich","Étranger","Sexe - total","Âge - total",14668
"1987","Bern / Berne","Étranger","Sexe - total","Âge - total",7353
"1987","Luzern","Étranger","Sexe - total","Âge - total",2907
"1987","Uri","Étranger","Sexe - total","Âge - total",156
"1987","Schwyz","Étranger","Sexe - total","Âge - total",889
"1987","Obwalden","Étranger","Sexe - total","Âge - total",207
"1987","Nidwalden","Étranger","Sexe - total","Âge - total",229
"1987","Glarus","Étranger","Sexe - total","Âge - total",444
"1987","Zug","Étranger","Sexe - total","Âge - total",937
"1987","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",2353
"1987","Solothurn","Étranger","Sexe - total","Âge - total",1729
"1987","Basel-Stadt","Étranger","Sexe - total","Âge - total",3008
"1987","Basel-Landschaft","Étranger","Sexe - total","Âge - total",1858
"1987","Schaffhausen","Étranger","Sexe - total","Âge - total",533
"1987","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",466
"1987","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",115
"1987","St. Gallen","Étranger","Sexe - total","Âge - total",4754
"1987","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",2038
"1987","Aargau","Étranger","Sexe - total","Âge - total",5334
"1987","Thurgau","Étranger","Sexe - total","Âge - total",2448
"1987","Ticino","Étranger","Sexe - total","Âge - total",3175
"1987","Vaud","Étranger","Sexe - total","Âge - total",12293
"1987","Valais / Wallis","Étranger","Sexe - total","Âge - total",4031
"1987","Neuchâtel","Étranger","Sexe - total","Âge - total",2321
"1987","Genève","Étranger","Sexe - total","Âge - total",9232
"1987","Jura","Étranger","Sexe - total","Âge - total",449
"1987","Sans indication","Étranger","Sexe - total","Âge - total",0
"1988","Suisse","Étranger","Sexe - total","Âge - total",95973
"1988","Zürich","Étranger","Sexe - total","Âge - total",16030
"1988","Bern / Berne","Étranger","Sexe - total","Âge - total",8081
"1988","Luzern","Étranger","Sexe - total","Âge - total",3224
"1988","Uri","Étranger","Sexe - total","Âge - total",227
"1988","Schwyz","Étranger","Sexe - total","Âge - total",1141
"1988","Obwalden","Étranger","Sexe - total","Âge - total",235
"1988","Nidwalden","Étranger","Sexe - total","Âge - total",212
"1988","Glarus","Étranger","Sexe - total","Âge - total",434
"1988","Zug","Étranger","Sexe - total","Âge - total",976
"1988","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",2743
"1988","Solothurn","Étranger","Sexe - total","Âge - total",1845
"1988","Basel-Stadt","Étranger","Sexe - total","Âge - total",3257
"1988","Basel-Landschaft","Étranger","Sexe - total","Âge - total",2125
"1988","Schaffhausen","Étranger","Sexe - total","Âge - total",554
"1988","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",549
"1988","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",125
"1988","St. Gallen","Étranger","Sexe - total","Âge - total",5261
"1988","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",2496
"1988","Aargau","Étranger","Sexe - total","Âge - total",5083
"1988","Thurgau","Étranger","Sexe - total","Âge - total",2497
"1988","Ticino","Étranger","Sexe - total","Âge - total",3481
"1988","Vaud","Étranger","Sexe - total","Âge - total",14305
"1988","Valais / Wallis","Étranger","Sexe - total","Âge - total",4170
"1988","Neuchâtel","Étranger","Sexe - total","Âge - total",2346
"1988","Genève","Étranger","Sexe - total","Âge - total",14121
"1988","Jura","Étranger","Sexe - total","Âge - total",455
"1988","Sans indication","Étranger","Sexe - total","Âge - total",0
"1989","Suisse","Étranger","Sexe - total","Âge - total",99352
"1989","Zürich","Étranger","Sexe - total","Âge - total",16001
"1989","Bern / Berne","Étranger","Sexe - total","Âge - total",9273
"1989","Luzern","Étranger","Sexe - total","Âge - total",3061
"1989","Uri","Étranger","Sexe - total","Âge - total",200
"1989","Schwyz","Étranger","Sexe - total","Âge - total",1117
"1989","Obwalden","Étranger","Sexe - total","Âge - total",296
"1989","Nidwalden","Étranger","Sexe - total","Âge - total",202
"1989","Glarus","Étranger","Sexe - total","Âge - total",532
"1989","Zug","Étranger","Sexe - total","Âge - total",910
"1989","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",3351
"1989","Solothurn","Étranger","Sexe - total","Âge - total",1961
"1989","Basel-Stadt","Étranger","Sexe - total","Âge - total",3554
"1989","Basel-Landschaft","Étranger","Sexe - total","Âge - total",2198
"1989","Schaffhausen","Étranger","Sexe - total","Âge - total",731
"1989","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",537
"1989","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",172
"1989","St. Gallen","Étranger","Sexe - total","Âge - total",5161
