"CubeId";"BSTA@SNB.MONA_US.BIL.AKT.HYP"
"PublishingDate";"2026-02-23 09:49"

"Date";"KONSOLIDIERUNGSSTUFE";"INLANDAUSLAND";"WAEHRUNG";"SEKTORESVG";"BANKENGRUPPE";"Value"
"2008-12";"U";"I";"CHF";"PHA";"A40";"498534000"
"2009-01";"U";"I";"CHF";"PHA";"A40";"500447000"
"2009-02";"U";"I";"CHF";"PHA";"A40";"501480000"
"2009-03";"U";"I";"CHF";"PHA";"A40";"503305000"
"2009-04";"U";"I";"CHF";"PHA";"A40";"505126000"
"2009-05";"U";"I";"CHF";"PHA";"A40";"506885000"
"2009-06";"U";"I";"CHF";"PHA";"A40";"510160000"
"2009-07";"U";"I";"CHF";"PHA";"A40";"512379000"
"2009-08";"U";"I";"CHF";"PHA";"A40";"514214000"
"2009-09";"U";"I";"CHF";"PHA";"A40";"516901000"
"2009-10";"U";"I";"CHF";"PHA";"A40";"518996000"
"2009-11";"U";"I";"CHF";"PHA";"A40";"520259000"
"2009-12";"U";"I";"CHF";"PHA";"A40";"520456000"
"2010-01";"U";"I";"CHF";"PHA";"A40";"522763000"
"2010-02";"U";"I";"CHF";"PHA";"A40";"524095000"
"2010-03";"U";"I";"CHF";"PHA";"A40";"526195000"
"2010-04";"U";"I";"CHF";"PHA";"A40";"528460000"
"2010-05";"U";"I";"CHF";"PHA";"A40";"531002000"
"2010-06";"U";"I";"CHF";"PHA";"A40";"533419000"
"2010-07";"U";"I";"CHF";"PHA";"A40";"535392000"
"2010-08";"U";"I";"CHF";"PHA";"A40";"537634000"
"2010-09";"U";"I";"CHF";"PHA";"A40";"540335000"
"2010-10";"U";"I";"CHF";"PHA";"A40";"538711000"
"2010-11";"U";"I";"CHF";"PHA";"A40";"540963000"
"2010-12";"U";"I";"CHF";"PHA";"A40";"544409000"
"2011-01";"U";"I";"CHF";"PHA";"A40";"545866000"
"2011-02";"U";"I";"CHF";"PHA";"A40";"547516000"
"2011-03";"U";"I";"CHF";"PHA";"A40";"549604000"
"2011-04";"U";"I";"CHF";"PHA";"A40";"551328000"
"2011-05";"U";"I";"CHF";"PHA";"A40";"554198000"
"2011-06";"U";"I";"CHF";"PHA";"A40";"556327000"
"2011-07";"U";"I";"CHF";"PHA";"A40";"558371000"
"2011-08";"U";"I";"CHF";"PHA";"A40";"561064000"
"2011-09";"U";"I";"CHF";"PHA";"A40";"565064000"
"2011-10";"U";"I";"CHF";"PHA";"A40";"567391000"
"2011-11";"U";"I";"CHF";"PHA";"A40";"569385000"
"2011-12";"U";"I";"CHF";"PHA";"A40";"571510000"
"2012-01";"U";"I";"CHF";"PHA";"A40";"574691000"
"2012-02";"U";"I";"CHF";"PHA";"A40";"576577000"
"2012-03";"U";"I";"CHF";"PHA";"A40";"578111000"
"2012-04";"U";"I";"CHF";"PHA";"A40";"580000000"
"2012-05";"U";"I";"CHF";"PHA";"A40";"582418000"
"2012-06";"U";"I";"CHF";"PHA";"A40";"584389000"
"2012-07";"U";"I";"CHF";"PHA";"A40";"586910000"
"2012-08";"U";"I";"CHF";"PHA";"A40";"588837000"
"2012-09";"U";"I";"CHF";"PHA";"A40";"590653000"
"2012-10";"U";"I";"CHF";"PHA";"A40";"593155000"
"2012-11";"U";"I";"CHF";"PHA";"A40";"595561000"
"2012-12";"U";"I";"CHF";"PHA";"A40";"601638000"
"2013-01";"U";"I";"CHF";"PHA";"A40";"603006000"
"2013-02";"U";"I";"CHF";"PHA";"A40";"604614000"
"2013-03";"U";"I";"CHF";"PHA";"A40";"606668000"
"2013-04";"U";"I";"CHF";"PHA";"A40";"609055000"
"2013-05";"U";"I";"CHF";"PHA";"A40";"610784000"
"2013-06";"U";"I";"CHF";"PHA";"A40";"611744000"
"2013-07";"U";"I";"CHF";"PHA";"A40";"614321000"
"2013-08";"U";"I";"CHF";"PHA";"A40";"615681000"
"2013-09";"U";"I";"CHF";"PHA";"A40";"618106000"
"2013-10";"U";"I";"CHF";"PHA";"A40";"620451000"
"2013-11";"U";"I";"CHF";"PHA";"A40";"622114000"
"2013-12";"U";"I";"CHF";"PHA";"A40";"623103000"
"2014-01";"U";"I";"CHF";"PHA";"A40";"625074000"
"2014-02";"U";"I";"CHF";"PHA";"A40";"626748000"
"2014-03";"U";"I";"CHF";"PHA";"A40";"628037000"
"2014-04";"U";"I";"CHF";"PHA";"A40";"629738000"
"2014-05";"U";"I";"CHF";"PHA";"A40";"631648000"
"2014-06";"U";"I";"CHF";"PHA";"A40";"633573000"
"2014-07";"U";"I";"CHF";"PHA";"A40";"635451000"
"2014-08";"U";"I";"CHF";"PHA";"A40";"637212000"
"2014-09";"U";"I";"CHF";"PHA";"A40";"639458000"
"2014-10";"U";"I";"CHF";"PHA";"A40";"640918000"
"2014-11";"U";"I";"CHF";"PHA";"A40";"642438000"
