"CubeId";"snboffzisa"
"PublishingDate";"2026-02-23 09:00"

"Date";"D0";"Value"
"2000-01";"LZ";
"2000-01";"UG0";"1.25"
"2000-01";"OG0";"2.25"
"2000-02";"LZ";
"2000-02";"UG0";"1.75"
"2000-02";"OG0";"2.75"
"2000-03";"LZ";
"2000-03";"UG0";"2.5"
"2000-03";"OG0";"3.5"
"2000-04";"LZ";
"2000-04";"UG0";"2.5"
"2000-04";"OG0";"3.5"
"2000-05";"LZ";
"2000-05";"UG0";"2.5"
"2000-05";"OG0";"3.5"
"2000-06";"LZ";
"2000-06";"UG0";"3"
"2000-06";"OG0";"4"
"2000-07";"LZ";
"2000-07";"UG0";"3"
"2000-07";"OG0";"4"
"2000-08";"LZ";
"2000-08";"UG0";"3"
"2000-08";"OG0";"4"
"2000-09";"LZ";
"2000-09";"UG0";"3"
"2000-09";"OG0";"4"
"2000-10";"LZ";
"2000-10";"UG0";"3"
"2000-10";"OG0";"4"
"2000-11";"LZ";
"2000-11";"UG0";"3"
"2000-11";"OG0";"4"
"2000-12";"LZ";
"2000-12";"UG0";"3"
"2000-12";"OG0";"4"
"2001-01";"LZ";
"2001-01";"UG0";"3"
"2001-01";"OG0";"4"
"2001-02";"LZ";
"2001-02";"UG0";"3"
"2001-02";"OG0";"4"
"2001-03";"LZ";
"2001-03";"UG0";"2.75"
"2001-03";"OG0";"3.75"
"2001-04";"LZ";
"2001-04";"UG0";"2.75"
"2001-04";"OG0";"3.75"
"2001-05";"LZ";
"2001-05";"UG0";"2.75"
"2001-05";"OG0";"3.75"
"2001-06";"LZ";
"2001-06";"UG0";"2.75"
"2001-06";"OG0";"3.75"
"2001-07";"LZ";
"2001-07";"UG0";"2.75"
"2001-07";"OG0";"3.75"
"2001-08";"LZ";
"2001-08";"UG0";"2.75"
"2001-08";"OG0";"3.75"
"2001-09";"LZ";
"2001-09";"UG0";"1.75"
"2001-09";"OG0";"2.75"
"2001-10";"LZ";
"2001-10";"UG0";"1.75"
"2001-10";"OG0";"2.75"
"2001-11";"LZ";
"2001-11";"UG0";"1.75"
"2001-11";"OG0";"2.75"
"2001-12";"LZ";
"2001-12";"UG0";"1.25"
"2001-12";"OG0";"2.25"
"2002-01";"LZ";
"2002-01";"UG0";"1.25"
"2002-01";"OG0";"2.25"
"2002-02";"LZ";
"2002-02";"UG0";"1.25"
"2002-02";"OG0";"2.25"
"2002-03";"LZ";
"2002-03";"UG0";"1.25"
"2002-03";"OG0";"2.25"
"2002-04";"LZ";
"2002-04";"UG0";"1.25"
"2002-04";"OG0";"2.25"
"2002-05";"LZ";
"2002-05";"UG0";"0.75"
"2002-05";"OG0";"1.75"
"2002-06";"LZ";
"2002-06";"UG0";"0.75"
"2002-06";"OG0";"1.75"
"2002-07";"LZ";
"2002-07";"UG0";"0.25"
"2002-07";"OG0";"1.25"
"2002-08";"LZ";
"2002-08";"UG0";"0.25"
"2002-08";"OG0";"1.25"
"2002-09";"LZ";
"2002-09";"UG0";"0.25"
"2002-09";"OG0";"1.25"
"2002-10";"LZ";
"2002-10";"UG0";"0.25"
"2002-10";"OG0";"1.25"
"2002-11";"LZ";
"2002-11";"UG0";"0.25"
"2002-11";"OG0";"1.25"
"2002-12";"LZ";
"2002-12";"UG0";"0.25"
"2002-12";"OG0";"1.25"
"2003-01";"LZ";
"2003-01";"UG0";"0.25"
"2003-01";"OG0";"1.25"
"2003-02";"LZ";
"2003-02";"UG0";"0.25"
"2003-02";"OG0";"1.25"
"2003-03";"LZ";
"2003-03";"UG0";"0"
"2003-03";"OG0";"0.75"
"2003-04";"LZ";
"2003-04";"UG0";"0"
"2003-04";"OG0";"0.75"
"2003-05";"LZ";
"2003-05";"UG0";"0"
"2003-05";"OG0";"0.75"
"2003-06";"LZ";
"2003-06";"UG0";"0"
"2003-06";"OG0";"0.75"
"2003-07";"LZ";
"2003-07";"UG0";"0"
"2003-07";"OG0";"0.75"
"2003-08";"LZ";
"2003-08";"UG0";"0"
"2003-08";"OG0";"0.75"
"2003-09";"LZ";
"2003-09";"UG0";"0"
"2003-09";"OG0";"0.75"
"2003-10";"LZ";
"2003-10";"UG0";"0"
"2003-10";"OG0";"0.75"
